timestamp,value
1463893627134,10.0
1463893627209,12.0
1463893627238,12.0
1463893627340,12.0
1463893627441,12.0
1463893627542,12.0
1463893627643,12.0
1463893627743,12.0
1463893627817,10.0
1463893627843,10.0
1463893627944,10.0
1463893628012,8.0
1463893628045,8.0
1463893628146,8.0
1463893628247,8.0
1463893628347,8.0
1463893628447,8.0
1463893628549,8.0
1463893628611,10.0
1463893628650,10.0
1463893628752,10.0
1463893628852,10.0
1463893628953,10.0
1463893629010,8.0
1463893629054,8.0
1463893629155,8.0
1463893629255,8.0
1463893629356,8.0
1463893629457,8.0
1463893629559,8.0
1463893629660,8.0
1463893629762,8.0
1463893629864,8.0
1463893629965,8.0
1463893630065,8.0
1463893630167,8.0
1463893630268,8.0
1463893630370,8.0
1463893630471,8.0
1463893630572,8.0
1463893630673,8.0
1463893630774,8.0
1463893630876,8.0
1463893630977,8.0
1463893631079,8.0
1463893631180,8.0
1463893631282,8.0
1463893631383,8.0
1463893631485,8.0
1463893631585,8.0
1463893631685,8.0
1463893631785,8.0
1463893631812,13.0
1463893631885,13.0
1463893631985,13.0
1463893632011,10.0
1463893632086,10.0
1463893632186,10.0
1463893632210,6.0
1463893632286,6.0
1463893632386,6.0
1463893632412,8.0
1463893632486,8.0
1463893632586,8.0
1463893632610,13.0
1463893632686,13.0
1463893632786,13.0
1463893632811,10.0
1463893632886,10.0
1463893632986,10.0
1463893633010,15.0
1463893633087,15.0
1463893633188,15.0
1463893633210,19.0
1463893633289,19.0
1463893633389,19.0
1463893633410,27.0
1463893633489,27.0
1463893633590,27.0
1463893633610,18.0
1463893633690,18.0
1463893633791,18.0
1463893633810,13.0
1463893633891,13.0
1463893633991,13.0
1463893634010,23.0
1463893634092,23.0
1463893634193,23.0
1463893634211,22.0
1463893634293,22.0
1463893634394,22.0
1463893634410,28.0
1463893634495,28.0
1463893634595,28.0
1463893634612,22.0
1463893634695,22.0
1463893634796,22.0
1463893634811,98.0
1463893634897,98.0
1463893634998,98.0
1463893635010,20786.0
1463893635098,20786.0
1463893635198,20786.0
1463893635212,32767.0
1463893635299,32767.0
1463893635401,32767.0
1463893635502,32767.0
1463893635603,32767.0
1463893635614,1740.0
1463893635703,1740.0
1463893635805,1740.0
1463893635821,165.0
1463893635906,165.0
1463893636006,165.0
1463893636021,41.0
1463893636107,41.0
1463893636208,41.0
1463893636217,20.0
1463893636309,20.0
1463893636410,20.0
1463893636430,19.0
1463893636511,19.0
1463893636612,19.0
1463893636713,19.0
1463893636812,33.0
1463893636824,33.0
1463893636924,33.0
1463893637011,82.0
1463893637028,82.0
1463893637130,82.0
1463893637211,48.0
1463893637230,48.0
1463893637332,48.0
1463893637411,8.0
1463893637432,8.0
1463893637533,8.0
1463893637611,9.0
1463893637633,9.0
1463893637735,9.0
1463893637812,6.0
1463893637842,6.0
1463893637943,6.0
1463893638044,6.0
1463893638145,6.0
1463893638245,6.0
1463893638345,6.0
